Designator,Mid X,Mid Y,Rotation,Layer
D1,-100.12828,6.671502,184.0,bottom
D10,88.321115,5.358833,176.0,bottom
D11,-101.31414,-10.287087,184.0,bottom
D12,-81.474476,-12.319209,188.0,bottom
D13,-63.649651,-14.824325,188.0,bottom
D14,-45.824826,-17.329441,188.0,bottom
D15,-28.0,-19.834557,188.0,bottom
D16,15.865942,-21.834557,172.0,bottom
D17,33.690768,-19.329441,172.0,bottom
D18,51.515593,-16.824325,172.0,bottom
D19,69.340418,-14.319209,172.0,bottom
D2,-79.108533,4.515348,188.0,bottom
D20,89.5,-11.5,176.0,bottom
D21,-102.5,-27.245676,184.0,bottom
D22,-83.840419,-29.153766,188.0,bottom
D23,-66.015593,-31.658882,188.0,bottom
D24,-48.190768,-34.163998,188.0,bottom
D25,-30.352026,-36.570087,188.0,bottom
D26,18.231885,-38.669114,172.0,bottom
D27,36.05671,-36.163998,172.0,bottom
D28,53.881535,-33.658882,172.0,bottom
D29,71.720278,-31.252793,172.0,bottom
D3,-61.283708,2.010232,188.0,bottom
D30,90.69981,-28.658101,176.0,bottom
D31,-68.381536,-48.493439,188.0,bottom
D32,-50.556711,-50.998555,188.0,bottom
D33,-32.731886,-53.503671,188.0,bottom
D34,20.597828,-55.503671,172.0,bottom
D35,38.422653,-52.998555,172.0,bottom
D36,56.247478,-50.493439,172.0,bottom
D4,-43.458883,-0.494884,188.0,bottom
D5,-25.634058,-3.0,188.0,bottom
D6,13.5,-5.0,172.0,bottom
D7,31.324825,-2.494884,172.0,bottom
D8,49.14965,0.010232,172.0,bottom
D9,66.974475,2.515348,172.0,bottom
LOGO1,0.0,-30.0,0.0,top
LOGO2,0.0,-45.0,0.0,bottom
SW1,-94.409858,2.551048,356.0,top
SW10,94.410556,2.541072,4.0,top
SW11,-95.596416,-14.417517,356.0,top
SW12,-75.935802,-16.48393,352.0,top
SW13,-58.110977,-18.989046,352.0,top
SW14,-40.286152,-21.494162,352.0,top
SW15,-22.461327,-23.999278,352.0,top
SW16,22.461327,-23.999278,8.0,top
SW17,40.286152,-21.494162,8.0,top
SW18,58.110977,-18.989046,8.0,top
SW19,75.935802,-16.48393,8.0,top
SW2,-73.568468,0.360529,352.0,top
SW20,95.596416,-14.417517,4.0,top
SW21,-96.782275,-31.376106,356.0,top
SW22,-78.301745,-33.318488,352.0,top
SW23,-60.47692,-35.823603,352.0,top
SW24,-42.652095,-38.328719,352.0,top
SW25,-24.827269,-40.833835,352.0,top
SW26,24.827269,-40.833835,8.0,top
SW27,42.652095,-38.328719,8.0,top
SW28,60.47692,-35.823603,8.0,top
SW29,78.301745,-33.318488,8.0,top
SW3,-55.745034,-2.154489,352.0,top
SW30,96.782275,-31.376106,4.0,top
SW31,-62.842863,-52.658161,352.0,top
SW32,-45.018037,-55.163276,352.0,top
SW33,-27.193212,-57.668392,352.0,top
SW34,27.193212,-57.668392,8.0,top
SW35,45.018037,-55.163276,8.0,top
SW36,62.842863,-52.658161,8.0,top
SW37,0.0,-58.0,180.0,top
SW4,-37.920209,-4.659605,352.0,top
SW5,-20.095384,-7.164721,352.0,top
SW6,20.095384,-7.164721,8.0,top
SW7,37.920209,-4.659605,8.0,top
SW8,55.745034,-2.154489,8.0,top
SW9,73.56986,0.350627,8.0,top
U1,0.0,-35.0,0.0,top
