Designator,Mid X,Mid Y,Rotation,Layer
D1,-43.675527,-29.517811,4.0,bottom
D10,133.337026,-22.58957,176.0,bottom
D11,-44.862783,-46.496352,4.0,bottom
D12,-36.458567,-40.267614,188.0,bottom
D13,-18.633739,-42.772729,188.0,bottom
D14,-0.808917,-45.277844,188.0,bottom
D15,17.015912,-47.782961,188.0,bottom
D16,60.881852,-49.78296,172.0,bottom
D17,78.706678,-47.277847,172.0,bottom
D18,96.531501,-44.772731,172.0,bottom
D19,114.356329,-42.267613,172.0,bottom
D2,-34.092621,-23.433058,188.0,bottom
D20,134.515912,-39.448404,176.0,bottom
D21,-46.717697,-63.331013,4.0,bottom
D22,-38.824508,-57.102172,188.0,bottom
D23,-20.999682,-59.607286,188.0,bottom
D24,-3.174858,-62.112404,188.0,bottom
D25,14.663884,-64.518492,188.0,bottom
D26,63.247794,-66.61752,172.0,bottom
D27,81.072621,-64.112403,172.0,bottom
D28,98.897444,-61.607287,172.0,bottom
D29,116.736188,-59.201195,172.0,bottom
D3,-16.267797,-25.938175,188.0,bottom
D30,135.715719,-56.606504,176.0,bottom
D31,-13.740812,-84.567257,8.0,bottom
D32,-3.993895,-79.082432,188.0,bottom
D33,12.284025,-81.452077,188.0,bottom
D34,65.61374,-83.452075,172.0,bottom
D35,83.438564,-80.946961,172.0,bottom
D36,101.263388,-78.441844,172.0,bottom
D4,1.557028,-28.443285,188.0,bottom
D5,19.381853,-30.948404,188.0,bottom
D6,58.515912,-32.948403,172.0,bottom
D7,76.340736,-30.443288,172.0,bottom
D8,94.16556,-27.938171,172.0,bottom
D9,111.990386,-25.433058,172.0,bottom
J1,44.973461,-86.549545,0.0,top
SW1,-49.393948,-25.397356,176.0,top
SW10,139.426466,-25.407334,4.0,top
SW11,-50.580506,-42.36592,176.0,top
SW12,-30.919891,-44.432335,352.0,top
SW13,-13.095068,-46.937452,352.0,top
SW14,4.729759,-49.442568,352.0,top
SW15,22.554586,-51.947682,352.0,top
SW16,67.477239,-51.947683,8.0,top
SW17,85.302062,-49.442567,8.0,top
SW18,103.126886,-46.937452,8.0,top
SW19,120.951715,-44.432333,8.0,top
SW2,-28.552557,-27.587875,352.0,top
SW20,140.612325,-42.365921,4.0,top
SW21,-51.766364,-59.324511,176.0,top
SW22,-33.285834,-61.266891,352.0,top
SW23,-15.461009,-63.772007,352.0,top
SW24,2.363816,-66.277125,352.0,top
SW25,20.188642,-68.782241,352.0,top
SW26,69.843179,-68.782239,8.0,top
SW27,87.668007,-66.277122,8.0,top
SW28,105.492832,-63.772009,8.0,top
SW29,123.317656,-61.266893,8.0,top
SW3,-10.729124,-30.102894,352.0,top
SW30,141.798187,-59.324509,4.0,top
SW31,-17.826953,-80.606564,172.0,top
SW32,-0.002124,-83.111679,352.0,top
SW33,17.822697,-85.616798,352.0,top
SW34,72.209124,-85.616795,8.0,top
SW35,90.03395,-83.111683,8.0,top
SW36,107.858772,-80.606564,8.0,top
SW37,52.286379,-91.5889,171.0,top
SW38,37.660544,-91.5889,189.0,top
SW4,7.095703,-32.608011,352.0,top
SW5,24.920528,-35.113125,352.0,top
SW6,65.111294,-35.113126,8.0,top
SW7,82.936121,-32.608009,8.0,top
SW8,100.760945,-30.102893,8.0,top
SW9,118.58577,-27.597779,8.0,top
U1,44.924252,-56.400889,0.0,top
