Designator,Mid X,Mid Y,Rotation,Layer
BAT1,39.394198,-70.15768,0.0,top
D1,-43.524491,-29.984359,4.0,bottom
D10,133.488061,-23.056118,176.0,bottom
D11,-44.711747,-46.9629,4.0,bottom
D12,-36.307531,-40.734162,188.0,bottom
D13,-18.482704,-43.239277,188.0,bottom
D14,-0.657881,-45.744392,188.0,bottom
D15,17.166948,-48.249509,188.0,bottom
D16,61.032888,-50.249508,172.0,bottom
D17,78.857714,-47.744394,172.0,bottom
D18,96.682537,-45.239279,172.0,bottom
D19,114.507365,-42.734161,172.0,bottom
D2,-33.941585,-23.899606,188.0,bottom
D20,134.666948,-39.914952,176.0,bottom
D21,-46.566661,-63.797561,4.0,bottom
D22,-38.673473,-57.568719,188.0,bottom
D23,-20.848646,-60.073834,188.0,bottom
D24,-3.023822,-62.578952,188.0,bottom
D25,14.814919,-64.98504,188.0,bottom
D26,63.398829,-67.084068,172.0,bottom
D27,81.223656,-64.578951,172.0,bottom
D28,99.04848,-62.073835,172.0,bottom
D29,116.887224,-59.667743,172.0,bottom
D3,-16.116761,-26.404723,188.0,bottom
D30,135.866754,-57.073052,176.0,bottom
D31,-13.589776,-85.033805,8.0,bottom
D32,-3.84286,-79.54898,188.0,bottom
D33,12.435061,-81.918625,188.0,bottom
D34,65.764775,-83.918623,172.0,bottom
D35,83.5896,-81.413509,172.0,bottom
D36,101.414424,-78.908392,172.0,bottom
D4,1.708064,-28.909833,188.0,bottom
D5,19.532889,-31.414952,188.0,bottom
D6,58.666947,-33.414951,172.0,bottom
D7,76.491772,-30.909836,172.0,bottom
D8,94.316596,-28.404719,172.0,bottom
D9,112.141422,-25.899606,172.0,bottom
J1,45.124497,-87.016093,0.0,top
SW1,-49.242912,-25.863904,176.0,top
SW10,139.577501,-25.873882,4.0,top
SW11,-50.42947,-42.832468,176.0,top
SW12,-30.768855,-44.898883,352.0,top
SW13,-12.944032,-47.404,352.0,top
SW14,4.880795,-49.909116,352.0,top
SW15,22.705622,-52.41423,352.0,top
SW16,67.628275,-52.414231,8.0,top
SW17,85.453097,-49.909115,8.0,top
SW18,103.277922,-47.404,8.0,top
SW19,121.10275,-44.898881,8.0,top
SW2,-28.401522,-28.054423,352.0,top
SW20,140.763361,-42.832469,4.0,top
SW21,-51.615328,-59.791059,176.0,top
SW22,-33.134799,-61.733439,352.0,top
SW23,-15.309973,-64.238554,352.0,top
SW24,2.514852,-66.743673,352.0,top
SW25,20.339678,-69.248789,352.0,top
SW26,69.994215,-69.248787,8.0,top
SW27,87.819042,-66.74367,8.0,top
SW28,105.643868,-64.238557,8.0,top
SW29,123.468692,-61.733441,8.0,top
SW3,-10.578088,-30.569442,352.0,top
SW30,141.949222,-59.791057,4.0,top
SW31,-17.675917,-81.073111,172.0,top
SW32,0.148911,-83.578227,352.0,top
SW33,17.973733,-86.083346,352.0,top
SW34,72.360159,-86.083343,8.0,top
SW35,90.184986,-83.57823,8.0,top
SW36,108.009808,-81.073112,8.0,top
SW37,52.437414,-91.747139,171.0,top
SW38,37.81158,-91.747139,189.0,top
SW4,7.246739,-33.074559,352.0,top
SW5,25.071563,-35.579673,352.0,top
SW6,65.26233,-35.579673,8.0,top
SW7,83.087157,-33.074557,8.0,top
SW8,100.911981,-30.569441,8.0,top
SW9,118.736806,-28.064327,8.0,top
U1,45.075288,-56.867437,0.0,top
